,date and time,from,comment
37,2023-05-20 18:06:23+00:00,m4rphy._,"Hello, I paid the book, but I haven’t gotten it yet, please inform me"
38,2023-05-20 00:43:38+00:00,irlan.souza,"Hello! I paid for the “workbook” but didn’T get it. Cold you, help me, please?"
39,2023-05-18 13:19:47+00:00,letty_franco,"I paid for the handbook but didn’t get it! Could you help me, please?"
40,2023-05-12 21:58:59+00:00,mohmed_elramy,I haven't been to an event before. I often eat at home because I prefer healthy food as much as possible. My dream job is to build my own firm. I have a hunger for knowledge. It's important to learn English because it's a key to opening doors to different cultures and knowledge.
41,2023-05-12 08:56:51+00:00,marysoul7,This sounds for mir like a1-a2……
42,2023-05-11 20:08:56+00:00,ttayfuncobanoglu,"My best event is a concert. Two years ago PostModernJukebox was in İzmir and i visited it was great i like the vintage. The second question is changeable cause i am living Türkiye and there are foods are quitly expensive for the domestic nationals. But i prefer eat my dinner in a restaurant with my friends. My dream is Stock value manager of a bank. Learning English is very really important and we have a special sentence about it “ 1 language 1 human 2 languages, 2 humans” also you can find a job easily and can talk with plenty of people"
43,2023-05-10 09:20:36+00:00,lil_king_2319,"My best visit I don't know, I prefer eating at home, my dream job I swore I wouldn't tell anyone until it happened and english is important for me 'cause in a couple years I will be living / I will live in the US ! @linguatrip_com"
44,2023-05-03 05:45:22+00:00,sameer_rc,"@linguatrip_com I am facing similar issue, please check your dm"
45,2023-05-03 04:41:14+00:00,alliyah_tashenova,"Hey there! I’ve finally got it. Keep DMing. There’re some technical issues, but they’ll send you the handbook"
46,2023-05-03 03:59:41+00:00,sameer_rc,"@alliyah_tashenova even I have paid the money, I did not receive any book from them yet. Did you get the books?"
47,2023-04-30 07:51:33+00:00,alliyah_tashenova,Please check your DM. I paid for your grammar handbook but I didn’t get it
48,2023-04-19 20:38:21+00:00,lorelli_pharma,"@linguatrip_com аналогичная ситуация. Чек пришёл, а пособие - нет."
49,2023-04-14 00:50:39+00:00,zhekado,"@linguatrip_com оплатила пособие, а на почту ничего не пришло! Написала - молчат. Обман?"
50,2023-04-08 18:30:43+00:00,learn.english.reyhane,Visit my informative page 😍 @learn.english.reyhane
51,2023-04-05 06:22:14+00:00,iamgujjud,"Yup. I have a question what to do after 10th I'm just passed 10 and i am confused what to do? My dream is i go to foreign like Canada so what is bast for me? Science, com ya ats please tell me... And answer me.."
52,2022-08-20 14:01:06+00:00,saifon5,❤️❤️😍
53,2022-08-18 09:04:07+00:00,a_long_walk_to_freedom,Отличный контент и такая красавица ! 👏
54,2022-08-18 06:30:13+00:00,taner_boray_ingilizce_konusma,👏👏 TRAIL BLAZER 🙏🙏
55,2022-08-17 20:09:24+00:00,chirkovmaxim71,Вы так похожи на мою любимую жену!🔥
56,2022-08-17 19:57:12+00:00,maksatgylyjov,Очень сильно полюбил тебя  ты даже не поверишь
57,2022-08-17 19:36:21+00:00,dora.idiomaseviagens,Great videos 👏
58,2022-08-17 19:26:00+00:00,busraozcurcu,"My favorite event which I have visited so far is the international trade fair. 
I’ll go for eating out because preparing meal is very challenging for me. 
I dream of being Ceo of my own business. 
Learning english is essential for the business world so I am learning English. In this way, we learn both different culture and different business tips. 👍"
59,2022-08-17 18:51:48+00:00,vaneholls,I will definitely in some weeks start this course! Just to practice plus I love your Instagram posts ❤️
60,2022-08-17 18:43:16+00:00,dmgarbar,Можно смотреть без звука 👍🏼😂
61,2022-08-17 18:41:43+00:00,aveenjawhar,👏👏❤️
62,2022-08-17 18:18:54+00:00,airram_nahk,"My best visit was to nathiagali,I prefer eating at home, my dream job is to become a chemist and the last but not the least English is a key for unlocking the door to the desired goal."
63,2022-08-17 18:05:29+00:00,rodrigo_urream,"@abbas.salim.3950 “Bill” is use for daily routine, for instance, if you go to the restaurant you should pay the bill. However “invoice” is use in business environment. For example, this quaterly the invoices double so, we will have more payable accounts"
64,2022-08-17 17:44:35+00:00,ledia_sameh,❤️❤️
65,2022-08-17 17:03:49+00:00,english.elements,Love the creativity
66,2022-08-17 16:49:24+00:00,erniyanti65,"My best even to visit in Dubai.I prefer to eat out, my dream job is built my our business. I'm learning english cause English already world"
67,2022-08-17 16:36:24+00:00,happy2289life,❤️❤️❤️❤️👏👏👏
68,2022-08-17 16:32:46+00:00,lena_guicheteau,Visited or been to?
69,2022-08-17 16:26:54+00:00,abbas.salim.3950,"What is the difference between tax , bill and invoice?"
70,2022-08-17 16:22:04+00:00,tharu_rukshanii,First like from me
